# intraday sessions v1 — one row per complete regular session; the rules, the null and trial 3 run from this file anywhere
# {"symbol": "SPY", "timeframe": "1m", "provenance": {"source": "alpaca", "fetched_at": "2026-09-03T18:45:53+00:00", "adjusted": null, "path": "/Users/danielalba/Desktop/ca/tools/market/bars/SPY-1m.csv"}, "skipped": {"202 bars": 1, "185 bars": 1, "300 bars": 1, "233 bars": 1, "214 bars": 1, "206 bars": 1, "212 bars": 1, "207 bars": 1, "204 bars": 2, "47 bars": 1, "215 bars": 1, "213 bars": 2}, "sessions": 1518, "measured_by": "intraday.measure v1", "exported_at": "2026-09-04T02:44:31+00:00"}
date,r_first30,r_open_to_1530,open_1530,last_print,fill_slipped,exit_time
2021-08-02,-0.0005223236589907421,-0.004984784484716287,438.125,437.6,0,15:59
2021-08-03,-0.004584435726667224,0.00551956938235576,440.85,441.24,0,15:59
2021-08-04,0.0003638348189922702,-0.00010232854284153436,439.69,439.01,0,15:59
2021-08-05,0.0009993867399549217,0.0013173734299407602,440.8,441.72,0,15:59
2021-08-06,-0.00021487865010971774,0.000859514600438871,442.48,442.52,0,15:59
2021-08-09,-0.0014238575238439966,-0.0004294173484609143,442.32,442.19,0,15:59
2021-08-10,0.00051962135417849,0.00013555339674220512,442.68,442.67,0,15:59
2021-08-11,-0.0002929577464788613,-0.000157746478873233,443.69,443.76,0,15:59
2021-08-12,-0.0011947431302270495,0.0031784675728678824,445.02,445.08,0,15:59
2021-08-13,-0.0002244114808913622,-0.00035905836942629055,445.445,445.91,0,15:59
2021-08-16,-0.0026544292977009887,0.004431547217348175,446.5,446.99,0,15:59
2021-08-17,-0.0013729771095456478,-0.002520876004411532,443.27,444.0,0,15:59
2021-08-18,0.0025059827516142885,-0.003047816860071384,441.52,439.295,0,15:59
2021-08-19,0.005134435097531309,0.010589772388658325,440.83,439.96,0,15:59
2021-08-20,0.0035889514810103496,0.007087043430855866,443.365,443.37,0,15:59
2021-08-23,0.0025158928049957563,0.005997708740481,447.84,447.29,0,15:59
2021-08-24,2.2321428571503432e-05,0.0009821428571428203,448.44,447.94,0,15:59
2021-08-25,0.00024544257759329113,0.001829662851150271,448.98,448.925,0,15:59
2021-08-26,-0.0009584735751064777,-0.004591757127254126,446.58,446.32,0,15:59
2021-08-27,0.001241360799838942,0.007246863047708496,450.33,450.16,0,15:59
